time,openPrice,highestPrice,lowestPrice,closePrice,tradingAmount,volume
"2011-09-13 10:49:00",2709.0,2709.2,2708.4,2708.8,31177.0,198
"2011-09-13 10:50:00",2708.4,2709.2,2707.0,2707.8,31173.0,494
"2011-09-13 10:51:00",2708.0,2708.0,2706.4,2707.6,31146.0,490
